21,Column1,Column2,Column3
1584,0.002991,0.027162,0.935177
1600,0.008118,0.029604,0.938473
1615,0.001038,0.035219,0.945553
1631,0.004822,0.034243,0.944943
1646,0.006409,0.021913,0.935299
1662,-0.00116,0.027651,0.934444
1678,-0.003479,0.021058,0.94421
1693,-0.001648,0.033266,0.944455
1709,-0.006409,0.021669,0.947873
1725,-0.005432,0.027651,0.957273
1740,-0.027773,0.040469,0.963133
1756,-0.027651,0.038882,0.974974
1771,-0.008484,0.019349,0.952268
1787,-0.011292,0.012391,0.944943
1803,-0.031313,0.022279,0.960813
1818,-0.026796,0.031435,0.963499
1834,-0.015321,0.027651,0.965208
1850,-0.012147,0.027284,0.958982
1865,-0.022523,0.016541,0.959714
1881,-0.030458,0.017518,0.967405
1896,-0.021058,0.019105,0.963987
1912,-0.019349,0.019471,0.961179
1928,-0.024477,0.015809,0.954465
1943,-0.025575,0.027773,0.964964
1959,-0.017762,0.042178,0.966673
1975,-0.005921,0.033266,0.956662
1990,-0.003723,0.020326,0.941036
2006,-0.007019,0.013123,0.957639
2022,-0.00409,0.034243,0.957395
2037,-0.005555,0.02411,0.931759
2053,-0.005432,0.020448,0.922969
2068,-0.011414,0.035586,0.946896
2084,-0.029604,0.040835,0.963743
2100,-0.037417,0.035464,0.958005
2115,-0.035464,0.024965,0.95007
2131,-0.01996,0.03876,0.946652
2146,-0.038638,0.041812,0.958127
2162,-0.053165,0.0517,0.953977
2178,-0.044375,0.039248,0.951901
2193,-0.042056,0.043032,0.947751
2209,-0.049136,0.040103,0.965452
2225,-0.039858,0.037295,0.966673
2240,-0.031801,0.032534,0.957761
2256,-0.032778,0.024354,0.949338
2271,-0.043399,0.030825,0.960935
2287,-0.044009,0.025453,0.961423
2303,-0.041079,0.032534,0.96826
2319,-0.033144,0.022401,0.964353
2334,-0.026796,0.016786,0.956296
2350,-0.03058,0.0141,0.970945
2365,-0.026186,0.016419,0.958494
2381,-0.012757,0.016786,0.937496
2396,-0.010926,0.012269,0.942135
2412,-0.033999,0.021669,0.938595
2428,-0.038027,0.012635,0.94421
2443,-0.0235,0.032045,0.946042
2459,-0.020082,0.035952,0.9436
2475,-0.022279,0.027529,0.947262
2490,-0.038882,0.018006,0.945553
2506,-0.027651,0.005921,0.945431
2522,-0.01703,0.026552,0.963377
2537,-0.030214,0.017518,0.967039
2553,-0.029848,0.017152,0.953855
2568,-0.029848,0.014832,0.947629
2584,-0.025209,0.009339,0.959348
2600,-0.016908,0.012269,0.953366
2615,-0.023988,0.008484,0.946774
2631,-0.023988,0.004212,0.941159
2646,-0.021547,0.00116,0.94592
2662,-0.022401,0.005555,0.937008
2678,-0.028627,0.012025,0.934444
2693,-0.026552,0.013001,0.939327
2709,-0.030336,0.00824,0.947262
2724,-0.029848,0.008973,0.942135
2740,-0.040957,0.016786,0.947995
2756,-0.045962,0.023744,0.938839
2771,-0.053775,0.029238,0.935665
2787,-0.040225,0.014588,0.941159
2803,-0.04169,0.003845,0.94067
2818,-0.05878,-0.002869,0.943478
2834,-0.068669,-0.016297,0.968016
2850,-0.056339,-0.009705,0.966062
2865,-0.041079,-0.012147,0.957761
2881,-0.050601,-0.01117,0.975707
2896,-0.064274,-0.017518,0.993164
2912,-0.070256,-0.013978,0.988281
2928,-0.064762,-0.002869,0.984496
